JONSWAP Spectrum and Wave Train
===============================

Inputs:
Hs=4.50m
Tz=8.00s
Freq=[0.01, 3.50, step 0.00] rd/s
Time=[0.00, 2000.00, step 0.10] s

Spectral Parameters:
gamma=3.93
Tp=10.14 s
wp=0.62 rd/s
alpha=0.01

Spectral Moments:
m0=1.265 m^2
m1=0.924 m^2.rd/s
m2=0.758 m^2.(rd/s)^2
m3=0.745 m^2.(rd/s)^3
m4=0.945 m^2.(rd/s)^4

Wave Elevation Statictics:
Max: 3.88m
Min: -4.20m
Mean: -0.00m
StDev: 1.18m

Double Check Spectrum:
Hs=4*sqrt(m0)=4.50 m (-0%)
Tz=2*Pi*sqrt(m0/m2)=8.12 s (+1%)

Double Check Wave Train:
Hs=4*stdev(elevation)=4.72 m (+5%)
Tz=duration/upCrossings=8.30 s (+4%)

Spectrum and wave components:
omega	S(w)	Ampl	phi
rd/s	m2s/rd	 m  	rd
1321.30	0.56
1321.40	0.49
1321.50	0.42
1321.60	0.35
1321.70	0.26
1321.80	0.18
1321.90	0.10
1322.00	0.02
1322.10	-0.05
1322.20	-0.11
1322.30	-0.16
1322.40	-0.21
1322.50	-0.24
1322.60	-0.26
1322.70	-0.27
1322.80	-0.27
1322.90	-0.26
1323.00	-0.25
1323.10	-0.23
1323.20	-0.20
1323.30	-0.17
1323.40	-0.15
1323.50	-0.12
1323.60	-0.09
1323.70	-0.07
1323.80	-0.05
1323.90	-0.04
1324.00	-0.03
1324.10	-0.03
1324.20	-0.03
1324.30	-0.04
1324.40	-0.06
1324.50	-0.08
1324.60	-0.11
1324.70	-0.15
1324.80	-0.19
1324.90	-0.24
1325.00	-0.30
1325.10	-0.36
1325.20	-0.43
1325.30	-0.50
1325.40	-0.57
1325.50	-0.65
1325.60	-0.73
1325.70	-0.82
1325.80	-0.91
1325.90	-1.00
1326.00	-1.09
1326.10	-1.17
1326.20	-1.26
1326.30	-1.34
1326.40	-1.41
1326.50	-1.47
1326.60	-1.52
1326.70	-1.56
1326.80	-1.58
1326.90	-1.58
1327.00	-1.57
1327.10	-1.53
1327.20	-1.47
1327.30	-1.40
1327.40	-1.30
1327.50	-1.19
1327.60	-1.07
1327.70	-0.93
1327.80	-0.79
1327.90	-0.64
1328.00	-0.48
1328.10	-0.33
1328.20	-0.17
1328.30	-0.03
1328.40	0.12
1328.50	0.25
1328.60	0.38
1328.70	0.51
1328.80	0.62
1328.90	0.74
1329.00	0.84
1329.10	0.94
1329.20	1.04
1329.30	1.13
1329.40	1.23
1329.50	1.31
1329.60	1.40
1329.70	1.48
1329.80	1.56
1329.90	1.63
1330.00	1.70
1330.10	1.76
1330.20	1.81
1330.30	1.86
1330.40	1.89
1330.50	1.92
1330.60	1.93
1330.70	1.93
1330.80	1.92
1330.90	1.89
1331.00	1.85
1331.10	1.80
1331.20	1.73
1331.30	1.66
1331.40	1.57
1331.50	1.47
1331.60	1.36
1331.70	1.24
1331.80	1.12
1331.90	0.99
1332.00	0.86
1332.10	0.73
1332.20	0.61
1332.30	0.49
1332.40	0.37
1332.50	0.26
1332.60	0.16
1332.70	0.07
1332.80	-0.02
1332.90	-0.10
1333.00	-0.18
1333.10	-0.25
1333.20	-0.32
1333.30	-0.39
1333.40	-0.46
1333.50	-0.54
1333.60	-0.62
1333.70	-0.70
1333.80	-0.79
1333.90	-0.88
1334.00	-0.97
1334.10	-1.06
1334.20	-1.15
1334.30	-1.23
1334.40	-1.31
1334.50	-1.37
1334.60	-1.43
1334.70	-1.47
1334.80	-1.49
1334.90	-1.51
1335.00	-1.51
1335.10	-1.49
1335.20	-1.47
1335.30	-1.44
1335.40	-1.40
1335.50	-1.35
1335.60	-1.30
1335.70	-1.26
1335.80	-1.21
1335.90	-1.17
1336.00	-1.14
1336.10	-1.10
1336.20	-1.07
1336.30	-1.05
1336.40	-1.03
1336.50	-1.00
1336.60	-0.98
1336.70	-0.96
1336.80	-0.93
1336.90	-0.90
1337.00	-0.86
1337.10	-0.82
1337.20	-0.76
1337.30	-0.71
1337.40	-0.64
1337.50	-0.57
1337.60	-0.50
1337.70	-0.42
1337.80	-0.34
1337.90	-0.26
1338.00	-0.17
1338.10	-0.09
1338.20	-0.00
1338.30	0.08
1338.40	0.16
1338.50	0.24
1338.60	0.32
1338.70	0.40
1338.80	0.48
1338.90	0.56
1339.00	0.64
1339.10	0.73
1339.20	0.81
1339.30	0.90
1339.40	0.99
1339.50	1.08
1339.60	1.17
1339.70	1.26
1339.80	1.35
1339.90	1.43
1340.00	1.51
1340.10	1.58
1340.20	1.65
1340.30	1.69
1340.40	1.73
1340.50	1.75
1340.60	1.75
1340.70	1.73
1340.80	1.69
1340.90	1.64
1341.00	1.57
1341.10	1.48
1341.20	1.38
1341.30	1.26
1341.40	1.14
1341.50	1.00
1341.60	0.86
1341.70	0.72
1341.80	0.58
1341.90	0.45
1342.00	0.31
1342.10	0.18
1342.20	0.06
1342.30	-0.05
1342.40	-0.15
1342.50	-0.25
1342.60	-0.33
1342.70	-0.41
1342.80	-0.48
1342.90	-0.55
1343.00	-0.60
1343.10	-0.65
1343.20	-0.70
1343.30	-0.74
1343.40	-0.77
1343.50	-0.80
1343.60	-0.83
1343.70	-0.85
1343.80	-0.86
1343.90	-0.88
1344.00	-0.88
1344.10	-0.88
1344.20	-0.88
1344.30	-0.88
1344.40	-0.88
1344.50	-0.87
1344.60	-0.87
1344.70	-0.86
1344.80	-0.85
1344.90	-0.85
1345.00	-0.85
1345.10	-0.85
1345.20	-0.85
1345.30	-0.85
1345.40	-0.86
1345.50	-0.86
1345.60	-0.85
1345.70	-0.85
1345.80	-0.84
1345.90	-0.82
1346.00	-0.80
1346.10	-0.77
1346.20	-0.73
1346.30	-0.69
1346.40	-0.64
1346.50	-0.58
1346.60	-0.51
1346.70	-0.44
1346.80	-0.36
1346.90	-0.28
1347.00	-0.20
1347.10	-0.12
1347.20	-0.03
1347.30	0.06
1347.40	0.14
1347.50	0.23
1347.60	0.32
1347.70	0.41
1347.80	0.51
1347.90	0.60
1348.00	0.69
1348.10	0.78
1348.20	0.88
1348.30	0.96
1348.40	1.05
1348.50	1.12
1348.60	1.19
1348.70	1.25
1348.80	1.30
1348.90	1.33
1349.00	1.34
1349.10	1.34
1349.20	1.32
1349.30	1.29
1349.40	1.24
1349.50	1.17
1349.60	1.10
1349.70	1.02
1349.80	0.94
1349.90	0.85
1350.00	0.76
1350.10	0.68
1350.20	0.61
1350.30	0.54
1350.40	0.49
1350.50	0.44
1350.60	0.40
1350.70	0.37
1350.80	0.35
1350.90	0.33
1351.00	0.31
1351.10	0.29
1351.20	0.27
1351.30	0.25
1351.40	0.22
1351.50	0.18
1351.60	0.14
1351.70	0.09
1351.80	0.03
1351.90	-0.02
1352.00	-0.09
1352.10	-0.15
1352.20	-0.22
1352.30	-0.28
1352.40	-0.34
1352.50	-0.40
1352.60	-0.46
1352.70	-0.51
1352.80	-0.56
1352.90	-0.61
1353.00	-0.66
1353.10	-0.71
1353.20	-0.75
1353.30	-0.80
1353.40	-0.85
1353.50	-0.89
1353.60	-0.94
1353.70	-0.99
1353.80	-1.03
1353.90	-1.08
1354.00	-1.12
1354.10	-1.16
1354.20	-1.19
1354.30	-1.22
1354.40	-1.24
1354.50	-1.26
1354.60	-1.28
1354.70	-1.29
1354.80	-1.29
1354.90	-1.29
1355.00	-1.28
1355.10	-1.27
1355.20	-1.26
1355.30	-1.23
1355.40	-1.21
1355.50	-1.17
1355.60	-1.13
1355.70	-1.08
1355.80	-1.01
1355.90	-0.94
1356.00	-0.86
1356.10	-0.77
1356.20	-0.66
1356.30	-0.55
1356.40	-0.43
1356.50	-0.31
1356.60	-0.18
1356.70	-0.05
1356.80	0.08
1356.90	0.21
1357.00	0.32
1357.10	0.43
1357.20	0.53
1357.30	0.61
1357.40	0.68
1357.50	0.74
1357.60	0.78
1357.70	0.81
1357.80	0.84
1357.90	0.85
1358.00	0.86
1358.10	0.87
1358.20	0.88
1358.30	0.89
1358.40	0.91
1358.50	0.93
1358.60	0.95
1358.70	0.98
1358.80	1.01
1358.90	1.05
1359.00	1.08
1359.10	1.11
1359.20	1.14
1359.30	1.16
1359.40	1.17
1359.50	1.17
1359.60	1.17
1359.70	1.15
1359.80	1.12
1359.90	1.08
1360.00	1.04
1360.10	0.99
1360.20	0.94
1360.30	0.89
1360.40	0.84
1360.50	0.80
1360.60	0.77
1360.70	0.74
1360.80	0.72
1360.90	0.71
1361.00	0.70
1361.10	0.70
1361.20	0.70
1361.30	0.71
1361.40	0.71
1361.50	0.70
1361.60	0.69
1361.70	0.67
1361.80	0.65
1361.90	0.61
1362.00	0.57
1362.10	0.52
1362.20	0.46
1362.30	0.40
1362.40	0.34
1362.50	0.27
1362.60	0.20
1362.70	0.13
1362.80	0.07
1362.90	0.00
1363.00	-0.06
1363.10	-0.13
1363.20	-0.19
1363.30	-0.26
1363.40	-0.32
1363.50	-0.40
1363.60	-0.47
1363.70	-0.55
1363.80	-0.63
1363.90	-0.72
1364.00	-0.81
1364.10	-0.89
1364.20	-0.97
1364.30	-1.05
1364.40	-1.12
1364.50	-1.17
1364.60	-1.22
1364.70	-1.25
1364.80	-1.27
1364.90	-1.27
1365.00	-1.26
1365.10	-1.25
1365.20	-1.22
1365.30	-1.19
1365.40	-1.15
1365.50	-1.12
1365.60	-1.09
1365.70	-1.05
1365.80	-1.03
1365.90	-1.01
1366.00	-0.99
1366.10	-0.97
1366.20	-0.95
1366.30	-0.93
1366.40	-0.91
1366.50	-0.88
1366.60	-0.84
1366.70	-0.80
1366.80	-0.74
1366.90	-0.67
1367.00	-0.60
1367.10	-0.51
1367.20	-0.42
1367.30	-0.34
1367.40	-0.25
1367.50	-0.17
1367.60	-0.10
1367.70	-0.04
1367.80	0.01
1367.90	0.04
1368.00	0.06
1368.10	0.06
1368.20	0.05
1368.30	0.04
1368.40	0.01
1368.50	-0.01
1368.60	-0.03
1368.70	-0.05
1368.80	-0.05
1368.90	-0.05
1369.00	-0.03
1369.10	-0.00
1369.20	0.04
1369.30	0.10
1369.40	0.16
1369.50	0.23
1369.60	0.31
1369.70	0.38
1369.80	0.45
1369.90	0.51
1370.00	0.56
1370.10	0.60
1370.20	0.63
1370.30	0.64
1370.40	0.64
1370.50	0.62
1370.60	0.59
1370.70	0.55
1370.80	0.51
1370.90	0.46
1371.00	0.41
1371.10	0.36
1371.20	0.31
1371.30	0.27
1371.40	0.23
1371.50	0.20
1371.60	0.18
1371.70	0.17
1371.80	0.16
1371.90	0.16
1372.00	0.18
1372.10	0.19
1372.20	0.22
1372.30	0.25
1372.40	0.29
1372.50	0.33
1372.60	0.38
1372.70	0.43
1372.80	0.48
1372.90	0.53
1373.00	0.58
1373.10	0.63
1373.20	0.67
1373.30	0.70
1373.40	0.73
1373.50	0.76
1373.60	0.77
1373.70	0.77
1373.80	0.77
1373.90	0.75
1374.00	0.73
1374.10	0.70
1374.20	0.67
1374.30	0.63
1374.40	0.59
1374.50	0.56
1374.60	0.53
1374.70	0.50
1374.80	0.48
1374.90	0.47
1375.00	0.47
1375.10	0.47
1375.20	0.48
1375.30	0.49
1375.40	0.50
1375.50	0.51
1375.60	0.52
1375.70	0.53
1375.80	0.53
1375.90	0.53
1376.00	0.52
1376.10	0.50
1376.20	0.48
1376.30	0.45
1376.40	0.41
1376.50	0.37
1376.60	0.33
1376.70	0.28
1376.80	0.24
1376.90	0.19
1377.00	0.14
1377.10	0.09
1377.20	0.04
1377.30	-0.02
1377.40	-0.07
1377.50	-0.14
1377.60	-0.20
1377.70	-0.28
1377.80	-0.36
1377.90	-0.45
1378.00	-0.55
1378.10	-0.65
1378.20	-0.76
1378.30	-0.87
1378.40	-0.98
1378.50	-1.09
1378.60	-1.20
1378.70	-1.31
1378.80	-1.41
1378.90	-1.51
1379.00	-1.60
1379.10	-1.68
1379.20	-1.75
1379.30	-1.82
1379.40	-1.87
1379.50	-1.92
1379.60	-1.96
1379.70	-2.00
1379.80	-2.02
1379.90	-2.03
1380.00	-2.02
1380.10	-2.01
1380.20	-1.98
1380.30	-1.93
1380.40	-1.87
1380.50	-1.78
1380.60	-1.69
1380.70	-1.57
1380.80	-1.44
1380.90	-1.30
1381.00	-1.15
1381.10	-0.99
1381.20	-0.82
1381.30	-0.65
1381.40	-0.48
1381.50	-0.31
1381.60	-0.14
1381.70	0.02
1381.80	0.17
1381.90	0.31
1382.00	0.45
1382.10	0.58
1382.20	0.71
1382.30	0.82
1382.40	0.94
1382.50	1.05
1382.60	1.15
1382.70	1.25
1382.80	1.35
1382.90	1.44
1383.00	1.52
1383.10	1.59
1383.20	1.66
1383.30	1.71
1383.40	1.76
1383.50	1.79
1383.60	1.81
1383.70	1.81
1383.80	1.80
1383.90	1.78
1384.00	1.75
1384.10	1.71
1384.20	1.66
1384.30	1.61
1384.40	1.55
1384.50	1.49
1384.60	1.43
1384.70	1.36
1384.80	1.30
1384.90	1.25
1385.00	1.19
1385.10	1.13
1385.20	1.08
1385.30	1.03
1385.40	0.98
1385.50	0.93
1385.60	0.88
1385.70	0.83
1385.80	0.77
1385.90	0.72
1386.00	0.66
1386.10	0.59
1386.20	0.52
1386.30	0.45
1386.40	0.37
1386.50	0.29
1386.60	0.20
1386.70	0.11
1386.80	0.02
1386.90	-0.08
1387.00	-0.18
1387.10	-0.28
1387.20	-0.38
1387.30	-0.47
1387.40	-0.56
1387.50	-0.64
1387.60	-0.72
1387.70	-0.78
1387.80	-0.84
1387.90	-0.88
1388.00	-0.92
1388.10	-0.95
1388.20	-0.97
1388.30	-0.99
1388.40	-1.00
1388.50	-1.02
1388.60	-1.03
1388.70	-1.05
1388.80	-1.07
1388.90	-1.10
1389.00	-1.13
1389.10	-1.16
1389.20	-1.20
1389.30	-1.24
1389.40	-1.27
1389.50	-1.30
1389.60	-1.32
1389.70	-1.33
1389.80	-1.33
1389.90	-1.32
1390.00	-1.29
1390.10	-1.25
1390.20	-1.20
1390.30	-1.15
1390.40	-1.08
1390.50	-1.01
1390.60	-0.93
1390.70	-0.86
1390.80	-0.78
1390.90	-0.72
1391.00	-0.65
1391.10	-0.60
1391.20	-0.55
1391.30	-0.50
1391.40	-0.46
1391.50	-0.42
1391.60	-0.37
1391.70	-0.33
1391.80	-0.27
1391.90	-0.21
1392.00	-0.14
1392.10	-0.06
1392.20	0.03
1392.30	0.13
1392.40	0.25
1392.50	0.37
1392.60	0.50
1392.70	0.63
1392.80	0.76
1392.90	0.89
1393.00	1.02
1393.10	1.14
1393.20	1.24
1393.30	1.33
1393.40	1.41
1393.50	1.46
1393.60	1.50
1393.70	1.52
1393.80	1.52
1393.90	1.50
1394.00	1.47
1394.10	1.41
1394.20	1.34
1394.30	1.26
1394.40	1.16
1394.50	1.06
1394.60	0.95
1394.70	0.84
1394.80	0.73
1394.90	0.61
1395.00	0.51
1395.10	0.40
1395.20	0.31
1395.30	0.22
1395.40	0.14
1395.50	0.07
1395.60	0.01
1395.70	-0.04
1395.80	-0.08
1395.90	-0.11
1396.00	-0.13
1396.10	-0.15
1396.20	-0.15
1396.30	-0.15
1396.40	-0.14
1396.50	-0.12
1396.60	-0.09
1396.70	-0.06
1396.80	-0.03
1396.90	0.02
1397.00	0.06
1397.10	0.11
1397.20	0.16
1397.30	0.20
1397.40	0.25
1397.50	0.29
1397.60	0.33
1397.70	0.36
1397.80	0.38
1397.90	0.40
1398.00	0.40
1398.10	0.39
1398.20	0.37
1398.30	0.34
1398.40	0.30
1398.50	0.25
1398.60	0.18
1398.70	0.11
1398.80	0.04
1398.90	-0.05
1399.00	-0.13
1399.10	-0.23
1399.20	-0.32
1399.30	-0.41
1399.40	-0.51
1399.50	-0.60
1399.60	-0.70
1399.70	-0.79
1399.80	-0.88
1399.90	-0.96
1400.00	-1.05
1400.10	-1.12
1400.20	-1.20
1400.30	-1.26
1400.40	-1.33
1400.50	-1.38
1400.60	-1.43
1400.70	-1.47
1400.80	-1.50
1400.90	-1.53
1401.00	-1.55
1401.10	-1.56
1401.20	-1.56
1401.30	-1.56
1401.40	-1.54
1401.50	-1.52
1401.60	-1.48
1401.70	-1.43
1401.80	-1.38
1401.90	-1.31
1402.00	-1.22
1402.10	-1.13
1402.20	-1.02
1402.30	-0.90
1402.40	-0.76
1402.50	-0.62
1402.60	-0.47
1402.70	-0.31
1402.80	-0.15
1402.90	0.02
1403.00	0.18
1403.10	0.34
1403.20	0.50
1403.30	0.64
1403.40	0.78
1403.50	0.91
1403.60	1.03
1403.70	1.13
1403.80	1.23
1403.90	1.31
1404.00	1.38
1404.10	1.45
1404.20	1.50
1404.30	1.55
1404.40	1.60
1404.50	1.64
1404.60	1.68
1404.70	1.72
1404.80	1.75
1404.90	1.79
1405.00	1.82
1405.10	1.85
1405.20	1.87
1405.30	1.89
1405.40	1.91
1405.50	1.91
1405.60	1.91
1405.70	1.90
1405.80	1.88
1405.90	1.86
1406.00	1.82
1406.10	1.77
1406.20	1.71
1406.30	1.63
1406.40	1.55
1406.50	1.45
1406.60	1.35
1406.70	1.23
1406.80	1.09
1406.90	0.95
1407.00	0.79
1407.10	0.62
1407.20	0.44
1407.30	0.25
1407.40	0.04
1407.50	-0.17
1407.60	-0.38
1407.70	-0.61
1407.80	-0.83
1407.90	-1.05
1408.00	-1.26
1408.10	-1.46
1408.20	-1.65
1408.30	-1.83
1408.40	-1.98
1408.50	-2.11
1408.60	-2.22
1408.70	-2.30
1408.80	-2.36
1408.90	-2.38
1409.00	-2.39
1409.10	-2.36
1409.20	-2.32
1409.30	-2.26
1409.40	-2.18
1409.50	-2.09
1409.60	-2.00
1409.70	-1.89
1409.80	-1.79
1409.90	-1.69
1410.00	-1.59
1410.10	-1.49
1410.20	-1.40
1410.30	-1.31
1410.40	-1.23
1410.50	-1.14
1410.60	-1.06
1410.70	-0.97
1410.80	-0.88
1410.90	-0.77
1411.00	-0.67
1411.10	-0.55
1411.20	-0.42
1411.30	-0.29
1411.40	-0.15
1411.50	-0.01
1411.60	0.14
1411.70	0.28
1411.80	0.42
1411.90	0.55
1412.00	0.67
1412.10	0.78
1412.20	0.88
1412.30	0.96
1412.40	1.03
1412.50	1.09
1412.60	1.14
1412.70	1.17
1412.80	1.20
1412.90	1.23
1413.00	1.24
1413.10	1.26
1413.20	1.27
1413.30	1.28
1413.40	1.28
1413.50	1.29
1413.60	1.28
1413.70	1.27
1413.80	1.26
1413.90	1.23
1414.00	1.20
1414.10	1.16
1414.20	1.11
1414.30	1.05
1414.40	0.99
1414.50	0.91
1414.60	0.84
1414.70	0.76
1414.80	0.68
1414.90	0.61
1415.00	0.53
1415.10	0.47
1415.20	0.41
1415.30	0.35
1415.40	0.30
1415.50	0.26
1415.60	0.23
1415.70	0.20
1415.80	0.17
1415.90	0.15
1416.00	0.14
1416.10	0.13
1416.20	0.12
1416.30	0.11
1416.40	0.10
1416.50	0.10
1416.60	0.09
1416.70	0.09
1416.80	0.09
1416.90	0.09
1417.00	0.09
1417.10	0.09
1417.20	0.08
1417.30	0.08
1417.40	0.07
1417.50	0.06
1417.60	0.04
1417.70	0.02
1417.80	-0.01
1417.90	-0.04
1418.00	-0.08
1418.10	-0.12
1418.20	-0.17
1418.30	-0.23
1418.40	-0.29
1418.50	-0.36
1418.60	-0.44
1418.70	-0.52
1418.80	-0.61
1418.90	-0.70
1419.00	-0.81
1419.10	-0.91
1419.20	-1.02
1419.30	-1.13
1419.40	-1.24
1419.50	-1.34
1419.60	-1.43
1419.70	-1.51
1419.80	-1.57
1419.90	-1.62
1420.00	-1.64
1420.10	-1.63
1420.20	-1.60
1420.30	-1.54
1420.40	-1.46
1420.50	-1.35
1420.60	-1.22
1420.70	-1.07
1420.80	-0.91
1420.90	-0.74
1421.00	-0.57
1421.10	-0.40
1421.20	-0.24
1421.30	-0.09
1421.40	0.05
1421.50	0.16
1421.60	0.26
1421.70	0.34
1421.80	0.41
1421.90	0.45
1422.00	0.48
1422.10	0.50
1422.20	0.52
1422.30	0.52
1422.40	0.52
1422.50	0.51
1422.60	0.51
1422.70	0.49
1422.80	0.48
1422.90	0.46
1423.00	0.43
1423.10	0.41
1423.20	0.37
1423.30	0.33
1423.40	0.29
1423.50	0.25
1423.60	0.20
1423.70	0.16
1423.80	0.12
1423.90	0.09
1424.00	0.07
1424.10	0.07
1424.20	0.07
1424.30	0.10
1424.40	0.13
1424.50	0.19
1424.60	0.25
1424.70	0.33
1424.80	0.42
1424.90	0.51
1425.00	0.61
1425.10	0.70
1425.20	0.79
1425.30	0.87
1425.40	0.95
1425.50	1.01
1425.60	1.07
1425.70	1.11
1425.80	1.14
1425.90	1.16
1426.00	1.17
1426.10	1.18
1426.20	1.18
1426.30	1.18
1426.40	1.17
1426.50	1.16
1426.60	1.15
1426.70	1.14
1426.80	1.13
1426.90	1.11
1427.00	1.09
1427.10	1.06
1427.20	1.03
1427.30	0.98
1427.40	0.93
1427.50	0.86
1427.60	0.79
1427.70	0.70
1427.80	0.60
1427.90	0.48
1428.00	0.36
1428.10	0.23
1428.20	0.09
1428.30	-0.05
1428.40	-0.20
1428.50	-0.35
1428.60	-0.49
1428.70	-0.63
1428.80	-0.76
1428.90	-0.89
1429.00	-1.00
1429.10	-1.10
1429.20	-1.19
1429.30	-1.26
1429.40	-1.32
1429.50	-1.37
1429.60	-1.41
1429.70	-1.43
1429.80	-1.45
1429.90	-1.46
1430.00	-1.47
1430.10	-1.47
1430.20	-1.46
1430.30	-1.46
1430.40	-1.46
1430.50	-1.45
1430.60	-1.45
1430.70	-1.44
1430.80	-1.44
1430.90	-1.43
1431.00	-1.42
1431.10	-1.41
1431.20	-1.39
1431.30	-1.37
1431.40	-1.35
1431.50	-1.31
1431.60	-1.27
1431.70	-1.23
1431.80	-1.17
1431.90	-1.11
1432.00	-1.04
1432.10	-0.96
1432.20	-0.87
1432.30	-0.77
1432.40	-0.66
1432.50	-0.55
1432.60	-0.43
1432.70	-0.30
1432.80	-0.17
1432.90	-0.04
1433.00	0.10
1433.10	0.23
1433.20	0.36
1433.30	0.48
1433.40	0.60
1433.50	0.70
1433.60	0.80
1433.70	0.88
1433.80	0.94
1433.90	0.99
1434.00	1.02
1434.10	1.04
1434.20	1.06
1434.30	1.06
1434.40	1.06
1434.50	1.05
1434.60	1.05
1434.70	1.05
1434.80	1.05
1434.90	1.06
1435.00	1.08
1435.10	1.10
1435.20	1.13
1435.30	1.17
1435.40	1.20
1435.50	1.24
1435.60	1.28
1435.70	1.31
1435.80	1.33
1435.90	1.35
1436.00	1.35
1436.10	1.35
1436.20	1.33
1436.30	1.31
1436.40	1.28
1436.50	1.24
1436.60	1.20
1436.70	1.15
1436.80	1.10
1436.90	1.04
1437.00	0.99
1437.10	0.94
1437.20	0.88
1437.30	0.82
1437.40	0.77
1437.50	0.71
1437.60	0.64
1437.70	0.58
1437.80	0.50
1437.90	0.43
1438.00	0.34
1438.10	0.26
1438.20	0.16
1438.30	0.06
1438.40	-0.04
1438.50	-0.14
1438.60	-0.25
1438.70	-0.36
1438.80	-0.47
1438.90	-0.58
1439.00	-0.69
1439.10	-0.80
1439.20	-0.90
1439.30	-1.00
1439.40	-1.10
1439.50	-1.19
1439.60	-1.28
1439.70	-1.35
1439.80	-1.42
1439.90	-1.49
1440.00	-1.54
1440.10	-1.58
1440.20	-1.61
1440.30	-1.63
1440.40	-1.64
1440.50	-1.63
1440.60	-1.61
1440.70	-1.58
1440.80	-1.54
1440.90	-1.50
1441.00	-1.45
1441.10	-1.39
1441.20	-1.33
1441.30	-1.28
1441.40	-1.22
1441.50	-1.17
1441.60	-1.12
1441.70	-1.08
1441.80	-1.04
1441.90	-1.00
1442.00	-0.97
1442.10	-0.94
1442.20	-0.90
1442.30	-0.86
1442.40	-0.82
1442.50	-0.77
1442.60	-0.71
1442.70	-0.63
1442.80	-0.55
1442.90	-0.46
1443.00	-0.35
1443.10	-0.23
1443.20	-0.10
1443.30	0.03
1443.40	0.17
1443.50	0.31
1443.60	0.46
1443.70	0.60
1443.80	0.74
1443.90	0.87
1444.00	1.00
1444.10	1.12
1444.20	1.23
1444.30	1.33
1444.40	1.42
1444.50	1.50
1444.60	1.57
1444.70	1.63
1444.80	1.69
1444.90	1.74
1445.00	1.78
1445.10	1.82
1445.20	1.85
1445.30	1.87
1445.40	1.88
1445.50	1.89
1445.60	1.88
1445.70	1.87
1445.80	1.84
1445.90	1.79
1446.00	1.74
1446.10	1.67
1446.20	1.58
1446.30	1.49
1446.40	1.39
1446.50	1.28
1446.60	1.16
1446.70	1.05
1446.80	0.93
1446.90	0.81
1447.00	0.70
1447.10	0.60
1447.20	0.50
1447.30	0.42
1447.40	0.33
1447.50	0.26
1447.60	0.18
1447.70	0.11
1447.80	0.03
1447.90	-0.05
1448.00	-0.14
1448.10	-0.24
1448.20	-0.34
1448.30	-0.46
1448.40	-0.59
1448.50	-0.73
1448.60	-0.88
1448.70	-1.03
1448.80	-1.18
1448.90	-1.32
1449.00	-1.46
1449.10	-1.59
1449.20	-1.70
1449.30	-1.80
1449.40	-1.87
1449.50	-1.93
1449.60	-1.96
1449.70	-1.97
1449.80	-1.96
1449.90	-1.94
1450.00	-1.90
1450.10	-1.86
1450.20	-1.80
1450.30	-1.74
1450.40	-1.68
1450.50	-1.62
1450.60	-1.56
1450.70	-1.50
1450.80	-1.44
1450.90	-1.39
1451.00	-1.33
1451.10	-1.27
1451.20	-1.21
1451.30	-1.14
1451.40	-1.05
1451.50	-0.96
1451.60	-0.85
1451.70	-0.73
1451.80	-0.59
1451.90	-0.44
1452.00	-0.28
1452.10	-0.10
1452.20	0.07
1452.30	0.25
1452.40	0.42
1452.50	0.59
1452.60	0.74
1452.70	0.88
1452.80	1.00
1452.90	1.10
1453.00	1.18
1453.10	1.23
1453.20	1.26
1453.30	1.27
1453.40	1.26
1453.50	1.23
1453.60	1.19
1453.70	1.15
1453.80	1.09
1453.90	1.04
1454.00	0.98
1454.10	0.93
1454.20	0.87
1454.30	0.82
1454.40	0.77
1454.50	0.72
1454.60	0.68
1454.70	0.62
1454.80	0.57
1454.90	0.51
1455.00	0.45
1455.10	0.38
1455.20	0.31
1455.30	0.25
1455.40	0.18
1455.50	0.12
1455.60	0.07
1455.70	0.02
1455.80	-0.00
1455.90	-0.02
1456.00	-0.01
1456.10	0.00
1456.20	0.04
1456.30	0.08
1456.40	0.14
1456.50	0.20
1456.60	0.26
1456.70	0.31
1456.80	0.36
1456.90	0.40
1457.00	0.43
1457.10	0.44
1457.20	0.43
1457.30	0.41
1457.40	0.38
1457.50	0.35
1457.60	0.31
1457.70	0.27
1457.80	0.24
1457.90	0.22
1458.00	0.21
1458.10	0.21
1458.20	0.23
1458.30	0.27
1458.40	0.31
1458.50	0.37
1458.60	0.43
1458.70	0.50
1458.80	0.57
1458.90	0.63
1459.00	0.69
1459.10	0.74
1459.20	0.79
1459.30	0.82
1459.40	0.85
1459.50	0.86
1459.60	0.87
1459.70	0.88
1459.80	0.88
1459.90	0.87
1460.00	0.85
1460.10	0.83
1460.20	0.80
1460.30	0.75
1460.40	0.69
1460.50	0.61
1460.60	0.51
1460.70	0.38
1460.80	0.23
1460.90	0.06
1461.00	-0.13
1461.10	-0.34
1461.20	-0.57
1461.30	-0.80
1461.40	-1.03
1461.50	-1.26
1461.60	-1.48
1461.70	-1.67
1461.80	-1.84
1461.90	-1.98
1462.00	-2.09
1462.10	-2.17
1462.20	-2.21
1462.30	-2.22
1462.40	-2.20
1462.50	-2.16
1462.60	-2.10
1462.70	-2.03
1462.80	-1.95
1462.90	-1.87
1463.00	-1.78
1463.10	-1.70
1463.20	-1.62
1463.30	-1.55
1463.40	-1.49
1463.50	-1.42
1463.60	-1.37
1463.70	-1.31
1463.80	-1.26
1463.90	-1.21
1464.00	-1.15
1464.10	-1.09
